City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
476,Tomatlan,MX,77.74,overcast clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
478,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,Ibis Styles
480,Lucelia,BR,80.38,heavy intensity rain,-21.7203,-51.0189,Hotel Lucélia
482,Souillac,MU,76.55,broken clouds,-20.5167,57.5167,Hotel SkylineInn
494,Todos Santos,MX,75.31,clear sky,23.45,-110.2167,Hotel Casa Tota
524,Sorong,ID,82.2,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
556,Roseau,DM,76.41,scattered clouds,15.3017,-61.3881,Madinina Lodgings
558,Cape Coast,GH,79.36,few clouds,5.1053,-1.2466,Mighty Victory Hotel
560,Touros,BR,78.96,broken clouds,-5.1989,-35.4608,Pousada Atlântico
562,Lucea,JM,75.06,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
566,Ambon,ID,82.04,overcast clouds,-3.6954,128.1814,Hotel Hero
567,Eldorado,BR,77.79,broken clouds,-23.7869,-54.2836,Hotel Laçador
569,Buchanan,LR,78.22,scattered clouds,5.8808,-10.0467,Phillipmena's Guesthouse
580,Makakilo City,US,80.98,few clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
597,Gorontalo,ID,80.33,broken clouds,0.5412,123.0595,Grand City Hotel
600,Celestun,MX,75.31,few clouds,20.8667,-90.4,Hotel Flamingo Playa
602,Jacmel,HT,76.84,few clouds,18.2342,-72.5347,Hotel L'Amenitie
605,Benguela,AO,78.6,overcast clouds,-12.5763,13.4055,Hotel Moibela
606,Pemba,MZ,76.37,overcast clouds,-12.974,40.5178,Hotel Rafael
615,Araceli,PH,80.31,overcast clouds,10.5529,119.9913,ARPA Lodge
619,Kupang,ID,81.79,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
625,Aden,YE,75.99,clear sky,12.7794,45.0367,فندق قصر الجزيرة
626,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Vahiny Hotel
628,Salinopolis,BR,76.08,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
630,Aransas Pass,US,75.29,mist,27.9095,-97.15,Executive Inn & Suites
631,Quatre Cocos,MU,78.1,broken clouds,-20.2078,57.7625,Horisun
632,Lorengau,PG,83.75,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
637,Tabou,CI,79.11,few clouds,4.423,-7.3528,hôtel le rochet
639,Ampanihy,MG,75.94,clear sky,-24.7,44.75,Hotel restaurant Angora
653,Parkes,AU,83.7,clear sky,-33.1333,148.1833,Commercial Hotel
657,Mitsamiouli,KM,80.31,broken clouds,-11.3847,43.2844,Hotel le Paradis
675,General Roca,AR,77.63,broken clouds,-39.0333,-67.5833,Hotel Austral
677,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Mabassa
680,Manado,ID,83.17,few clouds,1.487,124.8455,Swiss Belhotel
690,Villa Carlos Paz,AR,75.36,clear sky,-31.4241,-64.4978,Hoterl Victor
691,Waingapu,ID,81.03,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
693,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
696,Wagga Wagga,AU,86.85,clear sky,-35.1167,147.3667,The Astor
701,Gladstone,AU,78.73,light rain,-23.85,151.25,Gladstone Downtown Central
707,Omboue,GA,78.01,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
714,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,Hotel del Valle
